IBD_DN,IBD_UP
ST3GAL3,WASF1
PARVB,DSC2
CD79B,CLU
PLD4,DUSP3
TMEM156,MXD1
KIF22,KREMEN1
PRF1,HIST2H2BE
EIF2B3,MPP3
KLRD1,AQP9
U2AF2,HIST1H2AM
PRKDC,HIST1H2BD
NHP2,GLUL
CNR2,MCTP2
GZMA,SOCS3
RAB37,HIST1H1C
MRM1,HIST2H2BD
IMPDH2,RNF217
CCND2,EXOC6
CTSW,SLC2A3
C12orf75,HLX
POFUT1,EDNRB
SH2D1B,ADM
SMYD5,KCNJ15
IKZF3,FAM20A
EXOSC7,ST8SIA4
MCM5,HIST1H1B
ATAD1,SGMS1
IL2RB,MT1M
FCMR,DYSF
CAMK1D,BCL2A1
PTPRCAP,NAMPT
UPK1B,PLSCR1
BPHL,PRDX5
EIF3I,ZEB2
DEPTOR,PHF21A
SUMF2,GAS6
RPL23AP53,INSL3
KLRB1,GK3P
VAV2,CD55
FCRL3,RGS2
PAICS,CHSY1
GPX4,TCEB1
OAZ2,SBNO2
ZNF529,ABHD13
PRMT5,JAK3
CHKA,ARID5B
COL9A2,VPS9D1
DAGLB,CDC42EP3
USE1,ADAM9
SLAMF6,METTL7B
ULK2,SMAD1
GZMK,TRIM25
CD247,ANXA3
KLRF1,MAFK
TRAF5,TPI1P2
IMP4,KIAA0040
C2orf44,ARNTL2
PFKL,CR1L
PMS1,HSD3B7
TBC1D10C,CSF2RB
POLR3H,ACSL1
PRKACB,C4orf32
TFAM,SDCBP
CD79A,H3F3C
OSGEPL1,FPR2
KANSL2,MT1B
GZMB,BCL6
RPL35A,GRB10
MRPS25,HSPA6
SEC11A,CR1
SFXN2,LILRB4
ZNF34,RB1
TBC1D10A,TET2
TRAP1,PIM1
S1PR1,DRAP1
QPRT,DOC2B
LARS,ZNF330
POLR2G,SLC2A14
ITM2C,TXNDC2
TTC27,CDC42BPA
IPO5,H2AFJ
DEDD2,B4GALT5
CRY2,DSE
TBCCD1,FLOT1
FAAH,NRG1
BATF3,MLLT3
NDC1,IFITM2
ST6GALNAC6,WWC3
VIPR1,CTIF
NDUFAF4,ZNF438
NT5C,FAM8A1
METAP1D,TMEM50A
CEP78,HELB
TRMT1,ADARB1
FIGNL2,ATP1B2
P2RY10,DCAF12L2
PTGIR,FAM198B
NAT10,TNFRSF18
IFNG,HIST1H2BK
PRPF19,GALC
GPR20,EGR2
COPS7B,C19orf43
MLYCD,SLC38A2
OSBPL10,PANX2
NOP2,NSF
GRWD1,MT1HL1
NUBPL,CCR1
PFAS,PPP1R3D
AFF3,MROH1
RTTN,FAM151B
ADGRG1,DUPD1
OR6C6,C1orf162
FANCD2,PTPN12
UTP20,ZFP36
HMBS,MS4A4A
STARD7-AS1,FZD5
MS4A1,PHACTR2
EXOSC10,OTUD1
ILVBL,TLR4
EXOSC5,C17orf62
PEPD,ALPL
SCARNA1,TLR7
TSPAN13,DTNBP1
TANGO6,NECAP1
KIAA1328,TRIM17
FXN,GP9
PLVAP,MGAT4A
POMGNT1,CHN2
NDRG2,MT4
NT5E,GBP2
IMMP2L,ZNF316
SAMD3,FRMD3
MDN1,TMOD2
TUBG1,C3AR1
RHOF,PLRG1
EFNB1,CXCL1
SCAI,MAP3K8
FAM86C1,LOC100130370
MTURN,ASAP2
HOOK1,CXCL8
SLC6A16,S100A11
EMD,FAM129A
ACSS1,STAU1
STOML2,ACIN1
MKKS,PGF
LY9,C18orf65
BRF2,NRAS
VN1R1,NABP1
ARSG,FBXO38
PVR,SNTB2
BBS5,MMP19
KLF12,HIST1H2AH
SAMM50,SLC39A8
PTP4A3,ARHGAP26
MGLL,ZBTB47
HEATR1,RHOQ
FGFBP2,LRCH1
VCL,GAL3ST2
FBL,CHIC2
FAM162A,BCL2L11
CD96,SERPINA1
FCRL2,PFN3
NUDCD3,SRRM3
RRP8,CLEC4E
