GOBP_MYELOID_LEUKOCYTE_ACTIVATION,GOBP_PHAGOCYTOSIS,GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,GOBP_MACROPHAGE_ACTIVATION,GOBP_MYELOID_LEUKOCYTE_MIGRATION,GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE,GOBP_OXIDATIVE_PHOSPHORYLATION
NR1H3,NR1H3,ADAM8,TLR6,NR1H3,DNM1L,RNF41,LILRB2,NOD1,ENO1,UQCRFS1P1
RASGRP1,SIRPB1,RASGRP1,NOD1,TLR6,ADAM8,CDKN1A,TLR6,LAMTOR5,ENO2,PPIF
ADAM10,ABCA7,AKAP8,TRIM16,CEBPA,VAV3,TLR6,NOD1,LILRA2,ENO3,ATP5PD
TLR6,RACK1,NOD1,MALT1,CTSC,CREB3,MTCO2P12,SPON2,CHI3L1,FOXK1,ATP5MG
NDRG1,SPON2,SPON2,TMED10,VSIG4,CXCL13,DHRS4,ARID5A,PARK7,GALK1,MTCO2P12
CEBPA,VAV3,GPNMB,LILRA2,TMEM106A,EMILIN1,RIPK3,LILRA2,TIRAP,HK1,UQCR11
BATF,MERTK,ARFGEF2,TMEM106A,CLU,TIRAP,PARK7,TMEM106A,DDIT3,HK2,PARK7
CD226,LMAN2,LILRB1,NLRP3,LRRK2,JAML,CLCN3,TIRAP,F3,HK3,NDUFA11
CTSC,RAB31,ARID5A,GBP5,TICAM1,CCR1,ROMO1,ADORA2B,FCN1,FOXK2,COX4I1
TRAF3IP2,CORO1A,LILRB4,AGER,AGER,CCR7,MAPK14,TICAM1,DDX58,PFKL,COX5B
