,GeneID,chr21.geneset,s2_log2fc_500,s3_log2fc_500,s8_log2fc_500,s2_log2fc_100,s3_log2fc_100,s8_log2fc_100
ENSG00000011422,PLAUR,down,-3.229841981,-2.630133964,-4.042851538,-1.639339157,-1.555044736,-3.150490687
ENSG00000012779,ALOX5,down,-2.381421213,-1.836631285,-2.730107072,-1.16885235,-0.675096384,-2.936066482
ENSG00000033627,ATP6V0A1,down,-2.535780352,-1.626699288,-3.641310295,-1.643555343,-1.158343184,-3.687328792
ENSG00000043462,LCP2,down,-3.03303718,-3.211623078,-5.192640315,-2.50683285,-2.864930715,-4.683869349
ENSG00000049860,HEXB,down,-1.24753687,-1.77651547,-2.140573451,-1.517605456,-0.862287886,-1.54192855
ENSG00000071073,MGAT4A,down,-2.429013524,-2.572215478,-3.021447046,-2.014742473,-1.903145858,-3.615037797
ENSG00000072694,FCGR2B,down,-4.163672308,-3.983566358,-7.46884642,-3.255978656,-2.839759049,-6.826808923
ENSG00000075151,EIF4G3,down,-0.987965881,-1.249071344,-2.747747231,-1.279170138,-1.183884221,-2.615182035
ENSG00000081237,PTPRC,down,-1.280019181,-1.879306705,-1.952779669,-1.308705479,-1.29338733,-1.68331153
ENSG00000082074,FYB1,down,-2.196322101,-3.439797435,-3.651629077,-1.69792643,-2.834704994,-2.50179694
ENSG00000086300,SNX10,down,-1.408603387,-1.407268915,-2.653060249,-0.966570305,-0.887454798,-1.449906993
ENSG00000087589,CASS4,down,-4.005844217,-2.160097069,-5.253779263,-2.855149023,-1.496125732,-5.781666767
ENSG00000100055,CYTH4,down,-3.75660552,-2.766721338,-4.709370559,-1.907524266,-2.207490834,-4.804298657
ENSG00000100647,SUSD6,down,-1.82330365,-2.587200203,-1.941480889,-1.749468446,-1.916378837,-2.062193012
ENSG00000101347,SAMHD1,down,-2.734857688,-2.586124662,-4.632952946,-1.98158445,-1.845182278,-3.74990735
ENSG00000104043,ATP8B4,down,-2.821392413,-2.942196933,-4.460465279,-1.47136595,-1.701220965,-3.403390283
ENSG00000104093,DMXL2,down,-0.815513005,-0.591361967,-1.063644132,-0.617519162,-0.789120866,-0.647248038
ENSG00000104972,LILRB1,down,-4.094716078,-4.18873176,-5.493701609,-3.110642334,-2.314860931,-4.851664111
ENSG00000105383,CD33,down,-2.58582761,-2.933810354,-5.135149164,-2.721753642,-2.727881333,-3.715504088
ENSG00000107798,LIPA,down,-4.242286533,-3.499381787,-4.555102153,-3.473115251,-1.922501226,-3.963690729
ENSG00000110852,CLEC2B,down,-0.876663486,-2.183628741,-0.827670775,-0.864613489,-1.5804265,-1.279960661
ENSG00000111348,ARHGDIB,down,-3.437040349,-3.357399412,-5.253779263,-2.555124265,-1.991647793,-4.30361947
ENSG00000111679,PTPN6,down,-3.648240928,-3.164885019,-5.285427871,-2.795411717,-1.96431685,-3.885960677
ENSG00000112159,MDN1,down,-0.579579463,-0.373763654,-1.344988062,-0.17481326,-1.201590232,-1.01107286
ENSG00000112394,SLC16A10,down,-2.217555094,-1.110946211,-2.846736326,-0.66410073,0.111135898,-2.079167947
ENSG00000113070,HBEGF,down,-3.596963868,-2.575562978,-2.243274648,-3.058375814,-2.306224787,-3.008412533
ENSG00000115008,IL1A,down,-2.061378894,-0.832903259,0.466377574,-2.027379924,-0.592575111,-0.942211002
ENSG00000116977,LGALS8,down,-2.222938085,-2.656987911,-3.136444338,-1.996294038,-2.141103436,-3.157371854
ENSG00000117758,STX12,down,-0.670182011,-1.334117914,-1.316145887,-1.040884189,-0.899475046,-1.40450133
ENSG00000120885,CLU,down,0.248080983,1.562681878,0.291565693,0.579567397,2.228328228,0.632849118
ENSG00000126860,EVI2A,down,-1.653236504,-3.223241791,-4.466565479,-3.053375133,-2.07593113,-4.994452983
ENSG00000127951,FGL2,down,-4.619625176,-4.145693753,-8.473047937,-3.605525764,-3.065863493,-7.724095236
ENSG00000130830,MPP1,down,-1.706078086,-1.201721787,-2.140064654,-1.352428762,-0.526391236,-2.053242314
ENSG00000131018,SYNE1,down,-1.29553218,-0.844610442,-1.384371852,-1.108416496,-1.381138921,-0.742334355
ENSG00000131042,LILRB2,down,-2.607706545,-1.956728186,-3.355899359,-1.493537226,-1.196361019,-2.754503847
ENSG00000131355,ADGRE3,down,-2.37194167,-0.515382266,-4.877030248,-1.000907713,0.290008826,-3.01260033
ENSG00000132274,TRIM22,down,-0.369394988,-0.481600546,-1.829221292,-0.25551887,-0.225403841,-1.961891483
ENSG00000132334,PTPRE,down,-3.484888775,-3.22656076,-4.465222062,-2.970586534,-2.509812522,-4.340791798
ENSG00000132514,CLEC10A,down,-5.768551919,-4.505556836,-8.316567041,-4.399888866,-2.64571796,-8.133961162
ENSG00000133561,GIMAP6,down,-2.706283935,-3.046829257,-2.010781637,-1.231712374,-1.726864993,-2.690672235
ENSG00000133574,GIMAP4,down,-2.214924152,-1.159986219,-2.332709732,-1.217761951,-1.24288474,-1.837513623
ENSG00000134028,ADAMDEC1,down,-1.135629271,-0.475628888,-2.500791033,-0.588584598,0.744408463,-0.750950247
ENSG00000134242,PTPN22,down,-1.900430517,-1.653094286,-3.496685467,-1.78567935,-0.969693719,-2.776645458
ENSG00000134516,DOCK2,down,-1.384876494,-1.285650407,-2.387273544,-0.980862633,-1.202498804,-2.088467655
ENSG00000134531,EMP1,down,-4.454793582,-3.992704043,-6.968528603,-3.228149534,-3.96492053,-5.741528605
ENSG00000135047,CTSL,down,-2.803581137,-2.609455716,-4.377686641,-1.622740779,-1.466483266,-3.057577238
ENSG00000135218,CD36,down,-2.712978588,-2.253559699,-5.772332869,-2.48633454,-1.25552353,-5.130295372
ENSG00000135838,NPL,down,-1.22371174,-1.521346288,-0.805357954,-0.544555487,-1.675877758,-0.865096623
ENSG00000136161,RCBTB2,down,-1.44143985,-1.427919424,-1.484121436,-1.240460685,-1.020212266,-1.297087845
ENSG00000136869,TLR4,down,-3.539886307,-3.529457451,-5.494981161,-1.753814851,-1.560836011,-2.852943664
ENSG00000137462,TLR2,down,-3.57280093,-2.858553779,-4.715837983,-2.19003768,-1.712538499,-3.351334462
ENSG00000138119,MYOF,down,-4.369550402,-3.978637712,-6.360820439,-2.915495858,-3.200213668,-5.49639052
ENSG00000138821,SLC39A8,down,-2.137474201,-2.051907082,-1.499248919,-1.47009704,-1.0307873,-1.366576303
ENSG00000138964,PARVG,down,-2.419949442,-2.043384013,-2.861489397,-1.608342893,-1.35347014,-2.519012182
ENSG00000139318,DUSP6,down,-6.428570531,-6.765222745,-5.524470535,-5.119464323,-3.637903559,-6.647967784
ENSG00000140199,SLC12A6,down,-1.860115926,-1.971843541,-2.174011986,-1.677865998,-2.16645245,-2.210046394
ENSG00000140749,IGSF6,down,-3.326712416,-3.051191282,-5.780814933,-2.575406378,-1.822334069,-4.260083732
ENSG00000142185,TRPM2,down,-2.724500458,-1.744864112,-5.069675326,-1.589974612,-0.720638419,-4.842675328
ENSG00000142512,SIGLEC10,down,-2.412913451,-2.989313454,-4.625491481,-1.434196917,-1.266384523,-3.498027157
ENSG00000143119,CD53,down,-1.883015604,-1.849142724,-3.302617667,-1.876497371,-1.203288398,-2.953031063
ENSG00000143226,FCGR2A,down,-4.313821889,-3.98718308,-7.610901036,-3.014421499,-2.48700621,-5.968863539
ENSG00000143851,PTPN7,down,-0.573215557,-1.511983689,-2.037253848,-0.496318629,-1.492467792,-2.029088452
ENSG00000144959,NCEH1,down,-3.223435652,-3.809265729,-3.884505369,-2.661607413,-2.429883255,-2.947011988
ENSG00000145335,SNCA,down,-2.280019181,-2.982508276,-3.069675326,-2.638337634,-0.891714966,-1.427637829
ENSG00000146070,PLA2G7,down,-1.920624993,-1.85007132,-3.669681707,-1.092530322,-1.222266932,-3.1310738
ENSG00000146376,ARHGAP18,down,-2.013596177,-2.785740012,-3.752920041,-1.535244141,-2.094908685,-3.144435103
ENSG00000148926,ADM,down,-0.348037604,0.188751936,0.296991084,-0.091849281,1.198501526,0.095430138
ENSG00000152229,PSTPIP2,down,-1.097155123,-0.986129197,-3.637270695,-0.648118654,-0.685607016,-2.958707322
ENSG00000153898,MCOLN2,down,0.048035017,0.675174069,-1.058087352,0.639963529,1.096000013,-1.416049855
ENSG00000154122,ANKH,down,-3.896008577,-3.102007816,-5.02154283,-3.492486767,-2.406799642,-3.521524338
ENSG00000154310,TNIK,down,-2.284820167,-1.844127467,-4.043680118,-1.64313862,-1.223373875,-3.121534701
ENSG00000155629,PIK3AP1,down,-2.822753446,-3.514474339,-4.105857662,-2.029762576,-2.559010182,-3.083548084
ENSG00000155926,SLA,down,-3.112291735,-3.469071531,-4.761553031,-2.014381001,-2.228743383,-4.360523633
ENSG00000157483,MYO1E,down,-0.841189185,-0.959661729,-1.648737225,-0.559464612,-1.11137268,-1.83481321
ENSG00000159399,HK2,down,-2.03993876,-1.869236248,-1.943889753,-1.344817954,-1.385130483,-1.642577947
ENSG00000162511,LAPTM5,down,-2.845570375,-2.559561461,-3.930532646,-2.332826311,-1.819995006,-3.325969855
ENSG00000163735,CXCL5,down,-4.295094501,-2.564249247,-5.000223445,-2.581004459,-1.152322243,-3.059527633
ENSG00000163823,CCR1,down,-4.871645412,-5.032556886,-7.222322336,-3.077960771,-2.892181547,-5.065711666
