bMIS_CD,bMIS_UC,bMIS_IBD,ETS2
ENSG00000105464,ENSG00000266088,ENSG00000144452,ENSG00000137462
ENSG00000188820,ENSG00000203395,ENSG00000253939,ENSG00000170345
ENSG00000112559,ENSG00000224959,ENSG00000254287,ENSG00000148926
ENSG00000215182,ENSG00000240350,ENSG00000224959,ENSG00000131042
ENSG00000147697,ENSG00000204876,ENSG00000245492,ENSG00000186407
ENSG00000126778,ENSG00000245492,ENSG00000250274,ENSG00000152229
ENSG00000134339,ENSG00000250274,ENSG00000266970,ENSG00000187116
ENSG00000186832,ENSG00000266970,ENSG00000251408,ENSG00000244682
ENSG00000167656,ENSG00000251139,ENSG00000268601,ENSG00000177575
ENSG00000096088,ENSG00000251095,ENSG00000273213,ENSG00000185432
ENSG00000128422,ENSG00000249746,ENSG00000233029,ENSG00000186815
ENSG00000173432,ENSG00000261218,ENSG00000268734,ENSG00000162711
ENSG00000101842,ENSG00000261026,ENSG00000102794,ENSG00000104972
ENSG00000224397,ENSG00000222032,ENSG00000158859,ENSG00000165092
ENSG00000108691,ENSG00000251408,ENSG00000182885,ENSG00000179630
ENSG00000108688,ENSG00000258919,ENSG00000215895,ENSG00000171049
ENSG00000136244,ENSG00000232762,ENSG00000226197,ENSG00000249437
ENSG00000172156,ENSG00000237643,ENSG00000128918,ENSG00000155926
ENSG00000159167,ENSG00000261435,ENSG00000162551,ENSG00000124731
ENSG00000206073,ENSG00000237372,ENSG00000109511,ENSG00000167613
ENSG00000180138,ENSG00000255874,ENSG00000260877,ENSG00000162745
ENSG00000078098,ENSG00000174899,ENSG00000100342,ENSG00000127951
ENSG00000099985,ENSG00000200494,ENSG00000161798,ENSG00000143119
ENSG00000087510,ENSG00000237567,ENSG00000103569,ENSG00000101347
ENSG00000112541,ENSG00000237567,ENSG00000156219,ENSG00000105383
ENSG00000244437,ENSG00000000938,ENSG00000140379,ENSG00000119681
ENSG00000239951,ENSG00000005001,ENSG00000166278,ENSG00000072694
ENSG00000105825,ENSG00000005102,ENSG00000198535,ENSG00000132274
ENSG00000164935,ENSG00000006788,ENSG00000205502,ENSG00000204472
ENSG00000105352,ENSG00000007171,ENSG00000123838,ENSG00000140749
