ETS2g1_UP,ETS2g1_DN,CHR21_DN,CHR21_UP,ETS2g2_UP,ETS2g2_DN
ENSG00000212789,ENSG00000157557,ENSG00000137462,ENSG00000175197,ENSG00000234289,ENSG00000131018
ENSG00000213442,ENSG00000106034,ENSG00000170345,ENSG00000234297,ENSG00000136536,ENSG00000259207
ENSG00000152582,ENSG00000131018,ENSG00000148926,ENSG00000105810,ENSG00000106829,ENSG00000164691
ENSG00000142002,ENSG00000104894,ENSG00000131042,ENSG00000227081,ENSG00000163682,ENSG00000197046
ENSG00000121769,ENSG00000143110,ENSG00000186407,ENSG00000233328,ENSG00000264364,ENSG00000239697
ENSG00000196428,ENSG00000104043,ENSG00000152229,ENSG00000164236,ENSG00000235508,ENSG00000050405
ENSG00000103353,ENSG00000064886,ENSG00000187116,ENSG00000117298,ENSG00000020633,ENSG00000111961
ENSG00000065150,ENSG00000164691,ENSG00000244682,ENSG00000065809,ENSG00000138279,ENSG00000104894
ENSG00000168497,ENSG00000111961,ENSG00000177575,ENSG00000113719,ENSG00000208892,ENSG00000149131
ENSG00000143457,ENSG00000139572,ENSG00000185432,ENSG00000227063,ENSG00000150593,ENSG00000161955
ENSG00000234745,ENSG00000132965,ENSG00000186815,ENSG00000121552,ENSG00000147854,ENSG00000175471
ENSG00000105640,ENSG00000115008,ENSG00000162711,ENSG00000106070,ENSG00000130826,ENSG00000251230
ENSG00000244021,ENSG00000161955,ENSG00000104972,ENSG00000240342,ENSG00000102226,ENSG00000197471
ENSG00000147403,ENSG00000105383,ENSG00000165092,ENSG00000136938,ENSG00000167881,ENSG00000168461
ENSG00000139725,ENSG00000259207,ENSG00000179630,ENSG00000249855,ENSG00000137500,ENSG00000155629
ENSG00000210049,ENSG00000175471,ENSG00000171049,ENSG00000057704,ENSG00000087303,ENSG00000104043
ENSG00000112983,ENSG00000239697,ENSG00000249437,ENSG00000173812,ENSG00000175886,ENSG00000143369
ENSG00000122068,ENSG00000185905,ENSG00000155926,ENSG00000262074,ENSG00000055070,ENSG00000132965
ENSG00000234287,ENSG00000277632,ENSG00000124731,ENSG00000151846,ENSG00000236972,ENSG00000106034
ENSG00000106617,ENSG00000143369,ENSG00000167613,ENSG00000213853,ENSG00000025772,ENSG00000005844
ENSG00000186187,ENSG00000154122,ENSG00000162745,ENSG00000171792,ENSG00000122026,ENSG00000198829
ENSG00000198954,ENSG00000163220,ENSG00000127951,ENSG00000117595,ENSG00000122862,ENSG00000113140
ENSG00000273514,ENSG00000113140,ENSG00000143119,ENSG00000175505,ENSG00000120685,ENSG00000134516
ENSG00000172058,ENSG00000005844,ENSG00000101347,ENSG00000182899,ENSG00000168256,ENSG00000075303
ENSG00000138757,ENSG00000159314,ENSG00000105383,ENSG00000107223,ENSG00000237350,ENSG00000143110
ENSG00000180758,ENSG00000251230,ENSG00000119681,ENSG00000107021,ENSG00000213551,ENSG00000102755
